comment,training_program,facility,lecturer,others
Anh bạn là người rất sáng suốt và đưa ra những quyết định tối ưu cho công việc của nhóm.,0,0,0,3
Anh bạn là người rất thông minh và được mọi người yêu thích bởi sự thông minh đó.,0,0,0,3
Anh bạn là người rất tinh tế và có mắt nhìn sáng suốt về khám phá những điều mới trong công việc.,0,0,0,3
Anh bạn là người rất tri thức và có khả năng tìm kiếm thông tin một cách nhanh chóng và hiệu quả.,0,0,0,3
Anh bạn là người rất trực tiếp và thẳng thắn trong cách giao tiếp với người khác.,0,0,0,3
Anh bạn này luôn có những gợi ý và giúp đỡ những người xung quanh.,0,0,0,3
Anh bạn này luôn có tinh thần trách nhiệm cao và giữ lời hứa.,0,0,0,3
Anh bạn này luôn cố gắng hết sức cho những bài kiểm tra của mình.,0,0,0,3
Anh bạn này là người có tư duy sáng tạo.,0,0,0,3
Anh bạn này là người cực kỳ năng động và sáng tạo.,0,0,0,3
Anh bạn này là người rất chân thành và trung thực.,0,0,0,3
Anh bạn này là người rất chắc chắn và đưa ra quyết định đúng đắn.,0,0,0,3
Anh bạn này là người rất có trách nhiệm và chăm sóc đến từng chi tiết nhỏ.,0,0,0,3
Anh bạn này là người rất tâm huyết với công việc của mình.,0,0,0,3
Anh bạn này là người rất tỉ lệ và cảm thông.,0,0,0,3
Anh bạn này rất dạn dĩ và sẵn sàng đối mặt với thử thách.,0,0,0,3
Anh bạn này rất sáng tạo trong các dự án thực tế.,0,0,0,3
Anh bạn rất hài hước và luôn làm cho mọi người cười nhiều hơn.,0,0,0,3
Anh bạn rất nhiệt tình và luôn cố gắng phát triển bản thân để giúp đồng đội hơn nữa.,0,0,0,3
Anh bạn rất sáng tạo và luôn đưa ra những giải pháp mới cho công việc đồng đội.,0,0,0,3
Anh bạn rất thông minh và nhiệt tình trong hoạt động đóng góp cho cộng đồng.,0,0,0,3
Anh bạn rất thấu hiểu và giúp đỡ cho mọi người trong nhóm.,0,0,0,3
Anh bạn rất trí tuệ và luôn cống hiến cho công việc đồng đội của mình.,0,0,0,3
Anh bạn thường giúp đỡ tôi trong các bài tập lập trình.,0,0,0,2
Anh bạn tôi luôn cởi mở và sẵn sàng chia sẻ những kinh nghiệm của mình.,0,0,0,3
Anh bạn tôi là người đam mê và có tinh thần sáng tạo không ngừng.,0,0,0,3
Anh bạn tôi rất chủ động và có khả năng giải quyết vấn đề tốt.,0,0,0,3
Anh bạn tôi rất dễ mến và lúc nào cũng nở nụ cười.,0,0,0,3
Anh bạn tôi rất dịu dàng và biết cách tôn trọng người khác.,0,0,0,3
Anh bạn tôi rất giỏi thuyết phục và có khả năng lãnh đạo.,0,0,0,3
Anh bạn tôi rất hòa nhã và có khả năng làm việc nhóm tốt.,0,0,0,3
Anh bạn tôi rất sáng tạo và có khả năng phát triển ý tưởng.,0,0,0,3
Anh bạn tôi rất thông minh và có tư duy sáng tạo.,0,0,0,3
Anh bạn tôi rất trung thực và đáng tin cậy.,0,0,0,3
Anh bạn tôi rất trách nhiệm và giữ được sự chân thành trong tất cả các hoạt động.,0,0,0,3
Anh bạn tôi rất tư duy và luôn tìm cách giải quyết vấn đề một cách sáng tạo.,0,0,0,3
Anh bạn tôi rất tận tâm với việc học tập và luôn có một tinh thần nghiêm túc trong học tập.,0,0,0,3
Anh bạn tôi đầy nhiệt huyết và có sức ảnh hưởng lớn đối với mọi người.,0,0,0,3
Anh bạn đồng học luôn tự tin và tràn đầy năng lượng.,0,0,0,3
Anh bạn đồng học đầy nhiệt huyết và tinh thần cầu tiến.,0,0,0,3
Anh bạn đồng nghiệp rất có tinh thần trách nhiệm với công việc.,0,0,0,2
Anh bạn đồng nghiệp rất có tài và chuyên môn cao.,0,0,0,2
Anh bạn đồng nghiệp rất có tài và năng khiếu trong lập trình.,0,0,0,2
Anh bạn đồng nghiệp rất có tâm và chia sẻ nhiệt tình.,0,0,0,2
Anh bạn đồng nghiệp rất giàu kinh nghiệm và chia sẻ rộng rãi.,0,0,0,2
Anh bạn đồng nghiệp rất thông minh và giàu kiến thức.,0,0,0,2
Anh bạn đồng nghiệp rất tận tâm với công việc.,0,0,0,2
Anh bạn đồng nghiệp rất tỉ mỉ và chú ý đến chi tiết.,0,0,0,2
Anh chàng này có khả năng giao tiếp tốt và thân thiện với mọi người.,0,0,0,3
Anh chàng này có khả năng giải quyết vấn đề một cách nhanh chóng và hiệu quả.,0,0,0,3
Anh chàng này có kỹ năng quản lý thời gian tốt và luôn hoàn thành công việc đúng hạn.,0,0,0,3
Anh chàng này có tinh thần lạc quan và sáng tạo.,0,0,0,3
Anh chàng này có tinh thần độc lập và thích tìm hiểu.,0,0,0,3
Anh chàng này có tính cách cởi mở và luôn sẵn sàng giao tiếp với mọi người.,0,0,0,3
Anh chàng này có tính cách dễ gần và thân thiện với mọi người.,0,0,0,3
Anh chàng này có tính cách năng động và thích mạo hiểm.,0,0,0,2
Anh chàng này luôn tràn đầy nội lực và động lực học tập.,0,0,0,3
Anh chàng này là một người rất hòa đồng và vui vẻ.,0,0,0,3
Anh chàng này là một người rất năng động và có tính cạnh tranh cao.,0,0,0,3
Anh chàng này là một người rất thân thiện và có khả năng tương tác xã hội tốt.,0,0,0,3
Anh chàng này là một người rất trung thực và đáng tin cậy.,0,0,0,3
Anh chàng này rất lạc quan và có tinh thần cầu tiến.,0,0,0,2
"Anh cứ nói năng không suy nghĩ, làm việc không chuyên tâm, làm hại cả nhóm đó.",0,0,0,1
Anh ta chấp nhận và tôn trọng ý kiến đóng góp của tất cả mọi người.,0,0,0,3
Anh ta chỉ quan tâm đến mục tiêu của mình và không chịu phối hợp cùng nhóm.,0,0,0,1
Anh ta có khả năng giải thích một cách dễ hiểu cho người khác.,0,0,0,2
Anh ta có khả năng sáng tạo cao.,0,0,0,2
Anh ta có khả năng thực hiện nhiều công việc cùng một lúc.,0,0,0,2
Anh ta có khả năng đàm phán tốt và giải quyết các mâu thuẫn thành công.,0,0,0,2
Anh ta có thái độ rất chuyên nghiệp trong lớp học.,0,0,0,2
Anh ta có thái độ tích cực đối với mọi người và luôn đưa ra những ý tưởng mới lạ để giúp đỡ người khác.,0,0,0,3
Anh ta có tài năng năng động và luôn tạo động lực cho mọi người xung quanh.,0,0,0,3
Anh ta có tâm hồn sáng tạo và luôn luôn đưa ra những giải pháp mới lạ.,0,0,0,3
Anh ta có tình bạn chân thành và luôn tạo động lực cho mọi người xung quanh.,0,0,0,3
Anh ta có tính cách điềm đạm và không bao giờ hoảng loạn.,0,0,0,3
Anh ta cảm thấy không thoải mái với nhóm khi những người khác có ý kiến ​​khác với anh ấy.,0,0,0,1
Anh ta hay bị nhiễm độc ý kiến và chỉ biết tự phát biểu mà không lắng nghe người khác.,0,0,0,1
Anh ta hay chỉ nhìn mặt quen không nhìn mặt mới và không có thiện cảm với người mới.,0,0,0,1
Anh ta hay chỉ trích người khác mà không có ý kiến xây dựng.,0,0,0,1
Anh ta hay cãi nhau với mọi người và luôn muốn giành ưu thế làm trung tâm.,0,0,0,1
Anh ta hay dùng lời nói để chỉ trích và phán xét người khác.,0,0,0,1
Anh ta hay dùng lời nói để làm tổn thương người khác và không biết đối xử đúng mực.,0,0,0,1
Anh ta hay dùng lời nói để đe dọa và không giúp đỡ người khác.,0,0,0,1
Anh ta hay dễ thay đổi suy nghĩ và chỉ làm những điều mình thích.,0,0,0,1
Anh ta hay dễ tự mãn và luôn làm việc để trưng bày suy nghĩ của mình.,0,0,0,1
Anh ta hay lấy cớ để chỉ trích người khác và không đón nhận ý kiến xây dựng.,0,0,0,1
Anh ta hay lấy nỗi sợ hãi của người khác để làm cho họ bị ảnh hưởng.,0,0,0,1
Anh ta hay nổi cáu và quá đáng trong các tình huống nhất định.,0,0,0,1
Anh ta hay phàn nàn và chỉ trích những người khác trong khi không tự cải thiện mình.,0,0,0,1
Anh ta hay phân biệt đối xử với người khác vì lý do chủ quan.,0,0,0,1
Anh ta hay phủ nhận lỗi của mình và đổ lỗi cho người khác.,0,0,0,1
Anh ta hay xem thường người khác và không biết đối xử với họ tốt.,0,0,0,1
Anh ta hay đá xoáy và không biết lắng nghe ý kiến của người khác.,0,0,0,1
Anh ta hay đưa ra ý tưởng nhưng không có kế hoạch thực hiện cụ thể.,0,0,0,1
Anh ta hay để ý đến những chi tiết nhỏ mà không chú trọng đến công việc lớn hơn.,0,0,0,1
Anh ta hay độc đoán và không chấp nhận ý kiến khác của nhóm.,0,0,0,1
Anh ta hành xử thô lỗ đến mức mọi người đều muốn tránh xa.,0,0,0,1
Anh ta không bao giờ biết cách lắng nghe và tôn trọng ý kiến của người khác.,0,0,0,1
Anh ta không bao giờ chấp nhận thất bại.,0,0,0,1
Anh ta không bao giờ chịu chia sẻ kiến ​​thức và thường cố ý giấu giếm thông tin.,0,0,0,1
Anh ta không bao giờ giữ được bí mật và thường xuyên tiết lộ thông tin cho người khác.,0,0,0,1
Anh ta không bao giờ sẵn sàng giúp đỡ người khác.,0,0,0,1
Anh ta không bao giờ đúng và luôn giữ những hành động bất hợp pháp.,0,0,0,1
Anh ta không bao giờ đưa ra quyết định đúng đắn.,0,0,0,1
Anh ta không bao giờ đồng ý với ý kiến của người khác.,0,0,0,1
Anh ta không biết lắng nghe và không muốn nghe ý kiến của người khác.,0,0,0,1
Anh ta không cho phép người khác phát biểu ý kiến của mình trong lớp học.,0,0,0,1
Anh ta không có năng lực để thực hiện một số tác vụ trong dự án và chỉ cố gắng khi đã đợi quá muộn.,0,0,0,1
Anh ta không có trách nhiệm và luôn bỏ đi khi công việc còn dở dang.,0,0,0,1
Anh ta không có trách nhiệm và luôn trốn tránh trách nhiệm của mình trong công việc.,0,0,0,1
Anh ta không có tính cẩn thận gì cả.,0,0,0,1
Anh ta không có tư duy sáng tạo và cứ giữ nguyên ý tưởng cũ.,0,0,0,1
Anh ta không có ý thức kỷ luật và thường xuyên giảm sút chất lượng công việc của nhóm.,0,0,0,1
Anh ta không có đóng góp tích cực vào nhóm.,0,0,0,1
Anh ta không cần thiết đóng góp vào việc giúp đỡ và không được đáng tin cậy.,0,0,0,1
Anh ta không giúp tôi đồng đội trong dự án này.,0,0,0,1
Anh ta không hề tôn trọng giới hạn thời gian và gây sự cố trong nhóm.,0,0,0,1
Anh ta không tìm cách giải quyết vấn đề và làm việc một mình trong nhóm.,0,0,0,1
Anh ta không tôn trọng người khác và thường xuyên để các thành viên khác bị tổn thương.,0,0,0,1
Anh ta không tôn trọng ý kiến của người khác và luôn muốn chiếm ưu thế.,0,0,0,1
Anh ta không đáng để tin tưởng.,0,0,0,1
Anh ta luôn bất mãn và đòi hỏi chịu trách nhiệm của người khác.,0,0,0,1
Anh ta luôn chia sẻ những ý tưởng tuyệt vời và cố gắng giúp đỡ mọi người.,0,0,0,3
Anh ta luôn có tinh thần cầu tiến và không ngừng nỗ lực học tập.,0,0,0,3
Anh ta luôn có tinh thần học hỏi và mở đầu với những kiến thức mới.,0,0,0,2
Anh ta luôn cố gắng bắt chước tôi mà không tự tìm tòi.,0,0,0,1
Anh ta luôn cố gắng gây sự với người khác và lại còn thiếu tôn trọng.,0,0,0,1
"Anh ta luôn cố gắng hết sức để hoàn thành công việc của mình, kể cả trong những tình huống khó khăn nhất.",0,0,0,3
Anh ta luôn cố gắng khoe khoang về bản thân và làm người khác khó chịu.,0,0,0,1
Anh ta luôn cố gắng kiểm soát và làm trên đầu người khác.,0,0,0,1
Anh ta luôn cố gắng ép buộc người khác để làm theo ý mình.,0,0,0,1
Anh ta luôn giành giật quyền lực và không bao giờ chia sẻ cho người khác.,0,0,0,1
Anh ta luôn giữ được sự bình tĩnh trong những tình huống căng thẳng.,0,0,0,2
Anh ta luôn gây rối và thiếu tôn trọng giáo viên.,0,0,0,1
Anh ta luôn làm việc chăm chỉ và có kỹ năng giải quyết vấn đề tốt.,0,0,0,3
Anh ta luôn muốn chiếm đoạt thứ gì đó từ người khác.,0,0,0,1
Anh ta luôn muốn kiểm soát toàn bộ công việc của nhóm và không chịu chia sẻ.,0,0,0,1
Anh ta luôn muốn đi đầu trong mọi thứ mà không quan tâm đến người khác.,0,0,0,1
Anh ta luôn phàn nàn và không bao giờ hài lòng với bất cứ điều gì.,0,0,0,1
Anh ta luôn phàn nàn và không hài lòng với mọi điều.,0,0,0,1
Anh ta luôn phàn nàn và không hài lòng với những gì nhóm làm.,0,0,0,1
Anh ta luôn phàn nàn về mọi thứ và không bao giờ chịu đóng góp ý kiến.,0,0,0,1
Anh ta luôn phàn nàn về mọi thứ và không khéo léo trong việc giải quyết vấn đề.,0,0,0,1
Anh ta luôn sẵn sàng giúp đỡ mọi người và chia sẻ kinh nghiệm với nhau.,0,0,0,3
Anh ta luôn sẵn sàng giúp đỡ người khác và có thể làm việc với bất kỳ ai trong nhóm.,0,0,0,3
Anh ta luôn thích làm phiền và làm khó người khác.,0,0,0,1
Anh ta luôn thấy mình đúng và không thể chấp nhận ý kiến ​​khác.,0,0,0,1
Anh ta luôn thể hiện quyền lực của mình và không quan tâm đến người khác.,0,0,0,1
Anh ta luôn tràn đầy năng lượng và sáng tạo.,0,0,0,3
Anh ta luôn tràn đầy tình yêu thương và giúp đỡ người khác.,0,0,0,3
Anh ta luôn tỏ ra khinh thường mọi người và đối xử thô lỗ.,0,0,0,1
Anh ta luôn tỏ ra mê tín dị đoan và không khác nào kẻ điên.,0,0,0,1
Anh ta luôn tỏ ra vô duyên và không hề chịu đồng cảm với người khác.,0,0,0,1
Anh ta luôn tự cho mình là người thông minh nhất trong phòng học.,0,0,0,1
Anh ta luôn áp đặt suy nghĩ của mình lên những người khác.,0,0,0,1
Anh ta luôn đam mê và chủ động trong học tập và công việc.,0,0,0,3
Anh ta luôn độc đoán và suy đoán sai lầm.,0,0,0,1
Anh ta là kẻ phá hoại trong nhóm.,0,0,0,1
Anh ta là một giảng viên rất tận tâm và sáng tạo.,0,0,0,3
Anh ta là một học sinh có tinh thần đoàn kết tuyệt vời.,0,0,0,3
Anh ta là một lãnh đạo tốt.,0,0,0,2
Anh ta là một người bình tĩnh và kiên nhẫn.,0,0,0,2
Anh ta là một người có kỹ năng lãnh đạo tốt và đầy sự kiên nhẫn.,0,0,0,3
Anh ta là một người có sức ảnh hưởng và giành được nhiều kết quả tốt.,0,0,0,2
Anh ta là một người có tinh thần cầu tiến và không ngừng hoàn thiện mình.,0,0,0,2
Anh ta là một người có tầm nhìn rộng và luôn mở ý kiến của mình.,0,0,0,2
Anh ta là một người hài hước và giỏi nói chuyện.,0,0,0,2
"Anh ta là một người hài hước và vui vẻ, tạo cảm giác thoải mái cho người khác.",0,0,0,2
"Anh ta là một người học thức và thông minh, luôn lấy kiến thức từ mọi người để phát triển bản thân.",0,0,0,3
Anh ta là một người khá trầm tính.,0,0,0,2
Anh ta là một người nghiêm túc và chuyên tâm vào công việc.,0,0,0,2
Anh ta là một người năng động và có khả năng tổ chức tuyệt vời.,0,0,0,3
Anh ta là một người rất cầu tiến và không ngừng học hỏi.,0,0,0,3
Anh ta là một người rất trưởng thành và có tinh thần trách nhiệm cao.,0,0,0,3
Anh ta là một người rất tỉ mỉ và cẩn thận.,0,0,0,2
Anh ta là một người thân thiện và hòa đồng.,0,0,0,2
Anh ta là một người thân thiện và luôn lắng nghe người khác.,0,0,0,2
Anh ta là một người thông minh và có khả năng giải quyết vấn đề tốt.,0,0,0,2
Anh ta là một người thật sự tuyệt vời trong việc giúp đỡ người khác.,0,0,0,2
Anh ta là một người tự tin và dám nói lên ý kiến của mình.,0,0,0,2
Anh ta là một người vui tính và dễ gần.,0,0,0,2
Anh ta là một người vui tính và dễ thương.,0,0,0,2
Anh ta là một người đáng tin cậy và luôn giữ lời hứa của mình.,0,0,0,2
Anh ta là người có khả năng đưa ra ý tưởng sáng tạo.,0,0,0,2
Anh ta là người có trí nhớ tốt và khả năng phân tích logic.,0,0,0,2
Anh ta là người cởi mở và thân thiện.,0,0,0,2
Anh ta là người giỏi tiếng Anh.,0,0,0,2
Anh ta là người giỏi trong việc tổ chức và quản lý thông tin.,0,0,0,2
Anh ta là người luôn giữ được sự tập trung khi làm việc.,0,0,0,2
Anh ta là người lười biếng nhất trong nhóm.,0,0,0,1
Anh ta là người mới nhưng nhanh chóng hòa nhập vào tổ chức.,0,0,0,2
Anh ta là người rất chủ động trong công việc.,0,0,0,2
Anh ta là người rất kiên nhẫn.,0,0,0,2
Anh ta là người rất nhiệt tình và chăm chỉ.,0,0,0,2
Anh ta là người rất năng động và luôn tạo động lực cho người khác.,0,0,0,2
Anh ta là người rất năng động và sáng tạo.,0,0,0,2
Anh ta là người rất thân thiện và hòa đồng với mọi người.,0,0,0,2
Anh ta là người rất thân thiện và thoải mái.,0,0,0,2
Anh ta là người rất thực tế và có kiến thức rộng.,0,0,0,2
Anh ta là người rất tiếp thu nhanh.,0,0,0,2
Anh ta là người rất trung thực và tận tâm trong công việc.,0,0,0,2
Anh ta là người rất tận tâm và chu đáo.,0,0,0,2
Anh ta là người rất tận tâm với công việc của mình.,0,0,0,2
Anh ta là người rất tỉ mỉ và chú ý đến những chi tiết nhỏ nhất.,0,0,0,2
Anh ta là người thật tuyệt vời và luôn luôn giúp đỡ mọi người trong công việc.,0,0,0,3
Anh ta là người tỉnh táo và có tư duy phản biện.,0,0,0,2
Anh ta là người ích kỷ nhất mà tôi từng biết đến.,0,0,0,1
Anh ta là người đầy nhiệt huyết và luôn tạo ra một môi trường học tập tích cực cho mọi người.,0,0,0,3
Anh ta làm chậm tiến độ công việc của nhóm và thường xuyên thiếu trách nhiệm.,0,0,0,1
"Anh ta làm mọi chuyện một mình, không giúp đỡ người khác trong nhóm của mình.",0,0,0,1
"Anh ta làm việc không tập trung, gây ảnh hưởng xấu đến tiến độ của dự án.",0,0,0,1
Anh ta lười và không hợp tác trong nhóm làm bài tập.,0,0,0,1
Anh ta lắm chuyện và thường tạo ra mâu thuẫn trong nhóm.,0,0,0,1
Anh ta nhìn thường tôi chỉ vì tôi không giỏi như anh ấy.,0,0,0,1
Anh ta nhạt nhẽo và không có ý tưởng đóng góp cho dự án của nhóm.,0,0,0,1
Anh ta quá cố ý và khó chịu khi phải làm việc với những người khác trong nhóm.,0,0,0,1
Anh ta quá xem thường ý kiến ​​của người khác và không biết nghe.,0,0,0,1
Anh ta rất bất lịch sự và không tôn trọng người khác.,0,0,0,1
Anh ta rất chịu khó và luôn cố gắng hết sức để hoàn thành công việc của mình.,0,0,0,3
Anh ta rất giỏi tiếng Anh và giúp tôi cải thiện kỹ năng của mình.,0,0,0,3
"Anh ta rất giỏi tiếng Anh, luôn giúp đỡ mọi người trong lớp học.",0,0,0,3
Anh ta rất khó chịu trong khi làm việc nhóm và không chịu đóng góp ý kiến.,0,0,0,1
Anh ta rất khó chịu và làm hại mối quan hệ trong nhóm vì tính cách khó ưa.,0,0,0,1
Anh ta rất lười biếng và không chịu cố gắng học tập.,0,0,0,1
Anh ta rất ngông cuồng và khó chịu.,0,0,0,1
Anh ta rất thiếu đạo đức khi sao chép bài tập của người khác mà không hề nhận lỗi.,0,0,0,1
Anh ta rất thân thiện và luôn tạo ra môi trường làm việc tốt cho mọi người.,0,0,0,3
Anh ta rất thông cảm và luôn có cảm giác chia sẻ với những người xung quanh,0,0,0,3
Anh ta rất tiêu cực và thường xuyên phàn nàn về mọi thứ trong cuộc sống.,0,0,0,1
Anh ta rất tốt bụng và giúp đỡ mọi người.,0,0,0,3
Anh ta thiếu kiên nhẫn và đòi hỏi những thứ quá nhiều từ người khác.,0,0,0,1
Anh ta thiếu lịch sự và không có tinh thần đoàn kết với đồng đội.,0,0,0,1
Anh ta thường cắt đứt và xem thường người khác mà không có lý do gì cả.,0,0,0,1
Anh ta thường hay xúc phạm người khác và không bao giờ xin lỗi khi gây phiền phức cho người khác.,0,0,0,1
Anh ta thường không đủ quyết đoán và làm mất thời gian của những người khác.,0,0,0,1
"Anh ta thường làm việc chỉ cho lợi ích cá nhân, không suy nghĩ tới lợi ích nhóm.",0,0,0,1
Anh ta thường tỏ ra thiếu kiên nhẫn đối với người khác và không chịu đón nhận ý kiến xây dựng.,0,0,0,1
Anh ta thường xuyên bị lừa dối người khác.,0,0,0,1
Anh ta thường xuyên bỏ dở công việc giữa chừng và khiến cả nhóm phải trả giá.,0,0,0,1
Anh ta thường xuyên cãi nhau và không tôn trọng người khác.,0,0,0,1
Anh ta thường xuyên có những ý tưởng sai lầm và khiến cả nhóm tốn thời gian sửa chữa.,0,0,0,1
Anh ta thường xuyên gây phiền phức cho người khác chỉ để giải tỏa cái tôi của mình.,0,0,0,1
Anh ta thường xuyên gây phiền phức cho người khác và không có lời xin lỗi.,0,0,0,1
Anh ta thường xuyên gây ra sự cảm thấy không thoải mái và khó chịu trong nhóm.,0,0,0,1
Anh ta thường xuyên hành xử khó chịu và không bao giờ có lời biện minh cho việc mình làm.,0,0,0,1
Anh ta thường xuyên làm gián đoạn lớp học vì đang chơi điện thoại hoặc đang lướt web.,0,0,0,1
Anh ta thường xuyên lấy láo để thoát khỏi trách nhiệm.,0,0,0,1
Anh ta thường xuyên nói dối và không chịu đón nhận trách nhiệm.,0,0,0,1
Anh ta thường xuyên nói những lời khó nghe và không kiềm chế được hành động của mình.,0,0,0,1
Anh ta thường xuyên nói xấu người khác để trấn an sự tự tại của mình.,0,0,0,1
Anh ta thường xuyên phát ngôn gây hiểu lầm và khó chịu trong lớp.,0,0,0,1
Anh ta thường xuyên phát ngôn mang tính chất kích động và khó nghe.,0,0,0,1
Anh ta thường xuyên phân biệt đối xử và tự cho mình là người cao cả.,0,0,0,1
Anh ta thật tuyệt vời trong việc hỗ trợ tất cả mọi người.,0,0,0,3
Anh ta thực sự không quan tâm đến việc học và làm bài tập.,0,0,0,1
Anh ta toàn làm phiền và không bao giờ biết vị trí của mình.,0,0,0,1
Anh ta toàn tỏ ra vô trách nhiệm và không hề chấp nhận trách nhiệm của mình.,0,0,0,1
Anh ta đôi khi quá nóng tính và ảnh hưởng đến sự hài lòng của nhóm.,0,0,0,1
Anh ta đôi khi rất tự cao tự đại và không suy nghĩ kĩ trước khi nói.,0,0,0,1
Anh ấy bị tự cao tự đại và khó hợp tác với người khác.,0,0,0,1
Anh ấy chấp nhận và tôn trọng quan điểm của người khác.,0,0,0,2
Anh ấy có khả năng làm việc nhóm rất tốt.,0,0,0,3
Anh ấy có khả năng làm việc độc lập một cách hiệu quả.,0,0,0,2
Anh ấy có khả năng phân tích tốt và đưa ra quyết định hợp lý.,0,0,0,2
Anh ấy có khả năng quản lý tài chính tốt.,0,0,0,2
Anh ấy có khả năng thuyết phục và làm người khác tin tưởng.,0,0,0,2
Anh ấy có khả năng thích ứng với môi trường làm việc mới.,0,0,0,2
Anh ấy có khả năng tìm ra giải pháp hợp lý trong các tình huống khó khăn.,0,0,0,2
Anh ấy có khả năng tìm ra giải pháp tối ưu cho mọi vấn đề.,0,0,0,2
Anh ấy có khả năng tổ chức và quản lý tốt.,0,0,0,2
Anh ấy có khả năng độc lập và tự tin trong hành động.,0,0,0,2
Anh ấy có kỹ năng danh giá trong công việc.,0,0,0,2
Anh ấy có kỹ năng giao tiếp tốt.,0,0,0,2
Anh ấy có kỹ năng thuyết trình tốt và nói rõ ràng.,0,0,0,2
Anh ấy có một tầm nhìn đỉnh cao và khả năng giải quyết vấn đề tốt.,0,0,0,2
Anh ấy có sức khỏe tốt và có tinh thần làm việc đầy năng lượng.,0,0,0,2
Anh ấy có sự chu đáo và tận tâm trong công việc.,0,0,0,2
"Anh ấy có sự cẩn trọng trong việc làm, giúp ích cho công việc của mọi người.",0,0,0,2
Anh ấy có sự tự tin và dám đưa ra ý kiến cá nhân của mình.,0,0,0,2
Anh ấy có thể hơi đắt đỏ và khó tính trong một số tình huống.,0,0,0,2
Anh ấy có tinh thần lạc quan và luôn giữ vững niềm tin vào bản thân.,0,0,0,2
Anh ấy có tinh thần trách nhiệm cao và luôn đảm bảo sự hoàn thành công việc của mình.,0,0,0,2
Anh ấy có trí thông minh sáng suốt và sự nghiệp của anh ấy tuyệt vời.,0,0,0,2
Anh ấy có trí tuệ và tư duy logic tốt.,0,0,0,2
"Anh ấy có tài năng về âm nhạc và luôn tìm cách tạo ra các bản nhạc mới, giúp nhóm thêm hoàn hảo và đa dạng hơn.",0,0,0,3
Anh ấy có tâm huyết với việc giảng dạy và luôn chia sẻ kiến thức và kinh nghiệm cho mọi người trong lớp học.,0,0,0,3
Anh ấy có tâm huyết với việc giảng dạy và thường giúp đỡ các bạn học kém hơn mình hiểu bài tốt hơn.,0,0,0,3
Anh ấy có tâm lý học rất tốt và luôn lắng nghe người khác.,0,0,0,2
"Anh ấy có tình yêu với âm nhạc, giúp mọi người trong lớp hiểu rõ hơn về âm nhạc và đam mê đó.",0,0,0,3
Anh ấy có tính cách linh hoạt và dễ thích nghi với môi trường mới.,0,0,0,2
Anh ấy có tính cách thân thiện và luôn giúp đỡ mọi người.,0,0,0,2
